Period	World Total
Year	Thousand
1	225820
1000	267330
1500	438428
1600	556148
1700	603490
1820	1041708
1870	1275732
1900	1563464
1913	1792925
1920	1863466
1940	2299193
1950	2527960
1951	2571663
1952	2617949
1953	2665959
1954	2716927
1955	2769074
1956	2822502
1957	2879934
1958	2939254
1959	2995909
1960	3041507
1961	3082161
1962	3135787
1963	3201354
1964	3266477
1965	3333138
1966	3402224
1967	3471464
1968	3543086
1969	3615743
1970	3691157
1971	3769818
1972	3846499
1973	3922793
1974	3997677
1975	4070671
1976	4141445
1977	4213539
1978	4286317
1979	4363144
1980	4439529
1981	4514838
1982	4587307
1983	4676388
1984	4756521
1985	4837719
1986	4920968
1987	5006672
1988	5093306
1989	5180540
1990	5269029
1991	5351922
1992	5435722
1993	5518127
1994	5599396
1995	5681575
1996	5762212
1997	5842122
1998	5921366
1999	5999622
2000	6076558
2001	6154791
2002	6231704
2003	6308364
2004	6374056
2005	6462987
2006	6540214
2007	6616689
2008	6694832
2009	6764086
